"ontology"	"ZF.name"	"index"
"1"	"MA_0000358"	"liver"	28
"2"	"MA_0000281"	"nose"	7
"3"	"MA_0000141"	"spleen"	11
"4"	"MA_0001655"	"left kidney"	31
"5"	"MA_0000426"	"right lung"	62
"6"	"MA_0000120"	"pancreas"	29
"7"	"MA_0000261"	"eye"	4
"8"	"MA_0000275"	"lens"	5
"9"	"MA_0000338"	"duodenum"	49
"10"	"MA_0000134"	"bone marrow"	666
"11"	"MA_0000074"	"heart left atrium"	35
"12"	"MA_0000075"	"heart right atrium"	34
"13"	"MA_0000092"	"heart left ventricle"	45
"14"	"MA_0000093"	"heart right ventricle"	46
"15"	"MA_0000352"	"esophagus"	27
"16"	"MA_0000441"	"trachea"	250
"17"	"MA_0000258"	"outer ear"	6
"18"	"MA_0000353"	"stomach"	10
"19"	"MA_0001704"	"left ovary"	48
"20"	"MA_0001705"	"right ovary"	47
"21"	"MA_0000170"	"forebrain"	8
"22"	"MA_0000216"	"spinal cord"	9
"23"	"MA_0000354"	"bile duct"	13
"24"	"MA_0000475"	"arch of aorta"	15
"25"	"MA_0000425"	"left lung"	21
"26"	"MA_0000347"	"tongue"	20
"27"	"MA_0000198"	"cerebellum"	23
"28"	"MA_0001683"	"right kidney"	32
"29"	"MA_0001904"	"diaphragm"	33
"30"	"MA_0000389"	"uterus"	36	
"31"	"MA_0000380"	"urinary bladder"	37
"32"	"MA_0000378"	"ureter"	39
"33"	"MA_0000339"	"ileum"	52
"34"	"MA_0000340"	"jejunum"	51
"35"	"MA_0000335"	"colon"	53
"36"	"MA_0000385"	"oviduct"	55
"37"	"MA_0000336"	"rectum"	57
"38"	"MA_0000411"	"testis"	58
"39"	"MA_0001459"	"bone"	44	
"40"	"MA_0000057"	"brown adipose tissue"	666
"41"	"MA_0000129"	"thyroid gland"	59
"42"	"MA_0000151"	"skin"	666
"43"	"MA_0003148"	"skeletal muscle"	61
"44"	"MA_0000334"	"cecum"	60
"45"	"MA_0000205"	"myelencephalon"	30
