"ontology"	"ZF.name"	"index"
"1"	"ZFS_0000001"	"Zygote:1-cell"	1
"2"	"ZFS_0000002"	"Cleavage:2-cell"	2
"3"	"ZFS_0000003"	"Cleavage:4-cell"	3
"4"	"ZFS_0000004"	"Cleavage:8-cell"	4
"5"	"ZFS_0000005"	"Cleavage:16-cell"	97
"6"	"ZFS_0000006"	"Cleavage:32-cell"	5
"7"	"ZFS_0000008"	"Blastula:128-cell"	6
"8"	"ZFS_0000009"	"Blastula:256-cell"	8
"9"	"ZFS_0000012"	"Blastula:High"	7
"10"	"ZFS_0000014"	"Blastula:Sphere"	9
"11"	"ZFS_0000015"	"Blastula:Dome"	11
"12"	"ZFS_0000016"	"Blastula:30%-epiboly"	12
"13"	"ZFS_0000017"	"Gastrula:50%-epiboly"	13	
"14"	"ZFS_0000018"	"Gastrula:Germ-ring"	17	
"15"	"ZFS_0000019"	"Gastrula:Shield"	14
"16"	"ZFS_0000020"	"Gastrula:75%-epiboly"	16
"17"	"ZFS_0000021"	"Gastrula:90%-epiboly"	19
"18"	"ZFS_0000024"	"Segmentation:5-9 somites"	21
"19"	"ZFS_0000025"	"Segmentation:10-13 somites"	22	
"20"	"ZFS_0000026"	"Segmentation:14-19 somites"	24
"21"	"ZFS_0000028"	"Segmentation:26+ somites"	31
"22"	"ZFS_0000050"	"pharyngula"	45	
"23"	"ZFS_0000048"	"larva"	47
