ZFA	ZDB-GENE-030131-7347	ZDB-GENE-030513-2	ZDB-GENE-020318-3	ZDB-GENE-980526-192
ZFA:0000135	0	0	0	28
ZFA:0000022	0	0	0	20
ZFA:0000031	0	0	0	19
ZFA:0001093	0	11	0	8
ZFA:0000032	0	14	0	0
ZFA:0001198	0	14	0	0
ZFA:0000118	0	11	0	0
ZFA:0001094	0	8	0	1
ZFA:0009141	8	0	0	0
ZFA:0001197	0	8	0	0
ZFA:0001460	0	0	0	7
ZFA:0000037	0	7	0	0
ZFA:0001282	0	7	0	0
ZFA:0001205	0	0	0	7
ZFA:0001400	0	0	0	7
ZFA:0000051	0	0	0	7
ZFA:0000123	0	0	6	0
ZFA:0001399	0	0	0	5
ZFA:0001405	0	0	0	5
ZFA:0001612	0	0	0	4
ZFA:0001306	0	0	0	4
ZFA:0005580	0	4	0	0
ZFA:0009084	0	0	0	4
ZFA:0001516	0	0	0	4
ZFA:0001611	0	0	0	3
ZFA:0001613	0	0	0	3
ZFA:0000227	0	3	0	0
ZFA:0001195	0	3	0	0
ZFA:0009111	0	0	3	0
ZFA:0000393	0	0	0	3
ZFA:0001161	0	0	0	3
ZFA:0009205	0	3	0	0
ZFA:0001257	0	0	0	3
ZFA:0000257	0	0	0	2
ZFA:0009216	0	2	0	0
ZFA:0001458	0	0	0	2
ZFA:0001419	0	0	0	2
ZFA:0000107	0	0	0	2
ZFA:0001420	0	0	0	2
ZFA:0001423	0	0	0	2
ZFA:0001507	0	0	0	2
ZFA:0000008	0	1	0	1
ZFA:0000519	0	0	0	2
ZFA:0000364	0	0	0	2
ZFA:0001338	0	0	1	0
ZFA:0001066	0	0	0	1
ZFA:0001455	0	0	0	1
ZFA:0001457	0	0	0	1
ZFA:0000108	0	0	0	1
ZFA:0001227	0	0	0	1
ZFA:0001269	0	0	0	1
ZFA:0009100	0	1	0	0
ZFA:0009106	0	1	0	0
ZFA:0001389	0	0	0	1
ZFA:0001422	0	0	0	1
ZFA:0000737	0	0	0	1
ZFA:0001500	0	0	0	1
ZFA:0001270	0	0	0	1
ZFA:0001271	0	1	0	0
ZFA:0001238	0	0	0	1
ZFA:0000890	0	0	0	1
ZFA:0001000	0	0	0	1
ZFA:0000660	0	0	0	1
ZFA:0000354	1	0	0	0
ZFA:0001434	0	0	0	1
ZFA:0001162	0	0	0	1
ZFA:0001554	0	0	0	1
ZFA:0000438	0	0	0	1
ZFA:0001249	0	0	1	0
ZFA:0009167	0	1	0	0
ZFA:0001321	0	0	0	1
ZFA:0000943	0	0	0	1
ZFA:0000094	1	0	0	0
ZFA:0001173	0	0	0	1
ZFA:0000017	0	0	0	1
ZFA:0005059	0	0	0	1
ZFA:0001560	0	0	0	1
ZFA:0001216	0	0	0	1
ZFA:0009139	0	0	0	1
