"P16858" "Q921I1" "P07724" "Q9D0F9" "Q03265" "P06151" "P02088" "P05064" "P01942" "P52480"
"MA_0000358" 352.5 78.5 278.5 33.5 438.5 125.5 596.5 8.5 241 5
"MA_0000141" 381 240 1190 5 189 151 4579 82 2523 210
"MA_0000120" 73 73 305 7 224 26 280 23 74 10
"MA_0001683" 234 115 1008 25 591 97 1225 83 550 108
"MA_0001655" 234 115 1008 25 591 97 1225 83 550 108
"MA_0000425" 66 121 566 8 119 65 688 82 493 90
"MA_0000426" 66 121 566 8 119 65 688 82 493 90
"MA_0001704" 413 458 2888 22 963 167 1189 171 472 215
"MA_0001705" 413 458 2888 22 963 167 1189 171 472 215
"MA_0000129" 22 221 932 12 123 231 111 454 91 182
"MA_0000261" 240 233 922 35 130 432 93 148 66 574
"MA_0000275" 3 0 0 0 0 0 0 0 0 11
"MA_0000198" 724 7 89 38 474 108 163 335 84 54
"MA_0000170" 724 7 89 38 474 108 163 335 84 54
"MA_0000134" 42 24 572 2 1 47 1054 124 536 8
"MA_0001459" 180 207 519 230 155 485 981 829 453 15
"MA_0001904" 2811 312 2330 831 852 1645 352 4096 109 172
"MA_0003148" 2811 312 2330 831 852 1645 352 4096 109 172
"MA_0000151" 1803 3053 13194 264 280 1162 1555 2267 667 814
"MA_0000074" 724 297 1760 83 2383 267 2170 416 1019 105
"MA_0000075" 724 297 1760 83 2383 267 2170 416 1019 105
"MA_0000092" 724 297 1760 83 2383 267 2170 416 1019 105
"MA_0000093" 724 297 1760 83 2383 267 2170 416 1019 105
"MA_0000057" 680 272 2561 112 257 207 1481 239 905 361
