"P35359" "Q1MTC4" "Q0D294" "F1R5A5" "Q7ZVI7" "Q90485" "Q90X19" "Q804G7" "Q8JH70" "Q6PFU1"
"ZFA_0000208" 0 0.0331 5.102 0.1078 2.1374 5.9933 0.0118 3.1293 0.011 0.0339
"ZFA_0001161" 0 0.138 1.5291 2.1755 3.0333 1.3986 0.0486 0.1278 0.0331 0.0953
"ZFA_0001184" 0 0.138 1.5291 2.1755 3.0333 1.3986 0.0486 0.1278 0.0331 0.0953
"ZFA_0001173" 0 0.138 1.5291 2.1755 3.0333 1.3986 0.0486 0.1278 0.0331 0.0953
"ZFA_0001162" 0 0.138 1.5291 2.1755 3.0333 1.3986 0.0486 0.1278 0.0331 0.0953
"ZFA_0001058" 0 0.138 1.5291 2.1755 3.0333 1.3986 0.0486 0.1278 0.0331 0.0953
"ZFA_0000107" 1.2203 0.0319 3.7475 0.6881 1.9133 7.0878 0.164 0.1277 0.2892 0.019
"ZFA_0001076" 0 0.0442 2.3592 0.0161 0.6814 2.723 0.0158 0.2165 0.0137 0.0127
"ZFA_0001323" 0 0.0442 2.3592 0.0161 0.6814 2.723 0.0158 0.2165 0.0137 0.0127
"ZFA_0000706" 0 0.0442 2.3592 0.0161 0.6814 2.723 0.0158 0.2165 0.0137 0.0127
"ZFA_0000123" 0 0.106 2.7961 0.0312 1.232 6.125 0.0656 0.405 0.011 0.0084
"ZFA_0000636" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0000079" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0000445" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0000188" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0000297" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0000545" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0000118" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0000402" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0000406" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0000435" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0000212" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0001662" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0000294" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0000634" 0 0.0074 1.4822 0.0095 1.4436 4.1261 0.035 0.0052 0.5161 0.0551
"ZFA_0001606" 0 0.2311 11.9806 0.3975 6.8187 45.527 0.4252 0.0125 0.0386 0.0424
"ZFA_0001607" 0 0.2311 11.9806 0.3975 6.8187 45.527 0.4252 0.0125 0.0386 0.0424
"ZFA_0001608" 0 0.2311 11.9806 0.3975 6.8187 45.527 0.4252 0.0125 0.0386 0.0424
"ZFA_0001609" 0 0.2311 11.9806 0.3975 6.8187 45.527 0.4252 0.0125 0.0386 0.0424
"ZFA_0000471" 0 0.1711 4.0485 0.0713 3.488 32.8649 0.7244 0.028 0.2204 0.0763
"ZFA_0000009" 0 0.1711 4.0485 0.0713 3.488 32.8649 0.7244 0.028 0.2204 0.0763
"ZFA_0000173" 0 0.1711 4.0485 0.0713 3.488 32.8649 0.7244 0.028 0.2204 0.0763
"ZFA_0000154" 0 0.1711 4.0485 0.0713 3.488 32.8649 0.7244 0.028 0.2204 0.0763
"ZFA_0000368" 0 0.4482 4.8835 4.2834 8.024 10.3311 2.9318 0.2274 0.0248 0.0466
"ZFA_0000436" 0 0.3838 2.1068 0.0018 1.6773 21.1081 0.0105 0.0654 0.0358 0.0127
"ZFA_0001277" 0 3.4445 4.3204 0.041 8.6667 10.027 0.4567 0.4829 1.0083 0.1653
"ZFA_0001278" 0 3.4445 4.3204 0.041 8.6667 10.027 0.4567 0.4829 1.0083 0.1653
"ZFA_0001437" 0 3.4445 4.3204 0.041 8.6667 10.027 0.4567 0.4829 1.0083 0.1653
"ZFA_0000669" 0 0.6002 18.7573 0.0053 1.5573 16.7027 0.5223 0.1807 0.0496 0.0127
"ZFA_0001293" 0 0.6002 18.7573 0.0053 1.5573 16.7027 0.5223 0.1807 0.0496 0.0127
"ZFA_0000598" 0 6e-04 13.699 0.0321 2.6933 5.2162 0.0709 0.0498 0.0826 0.0085
"ZFA_0000403" 0 1.7915 0.7282 0.0036 1.2933 1.0541 0.0367 0.0903 0.0523 0.0212
"ZFA_0005277" 0 0.0337 0.5243 0.008 3.7454 1.6723 3.9672 0.0031 0.0069 0.0127
