"UniProt_ID"	"Protein_Name"
"1"	"A0A4W4"	"Kilon"
"2"	"A0AUR2"	"Sarcalumenin"
"3"	"A0AUR8"	"Zgc:154056"
"4"	"A0AUR9"	"G protein pathway suppressor 1"
"5"	"A0ELQ2"	"Plasma membrane calcium ATPase 1 isoform a"
"6"	"A0EXC6"	"SULT2 ST3"
"7"	"A0JMB8"	"Zgc:152778"
"8"	"A0JMD0"	"Protein KIAA0664 homolog"
"9"	"A0JMD3"	"Zgc:152896"
"10"	"A0JME6"	"Isochorismatase domain-containing protein 2, mitochondrial"
"11"	"A0JMG3"	"Zgc:153446"
"12"	"A0JMK0"	"Periostin, osteoblast specific factor"
"13"	"A0JMK6"	"Uncharacterized protein"
"14"	"A0JML7"	"ADP-dependent glucokinase"
"15"	"A0JMM8"	"Uncharacterized protein"
"16"	"A0JMN2"	"Novel protein similar to vertebrate carnitine acetyltransferase (CRAT, zgc:154046)"
"17"	"A0JMN6"	"Tyrosine aminotransferase"
"18"	"A0JMP4"	"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1 like"
"19"	"A0JMP5"	"Primary amine oxidase"
"20"	"A0JMP7"	"Zgc:154106"
"21"	"A0JMP8"	"A2ml protein (Fragment)"
"22"	"A0JMQ8"	"Uncharacterized protein"
"23"	"A0JPF3"	"Zgc:153748"
"24"	"A0MTA1"	"DNA-(apurinic or apyrimidinic site) lyase"
"25"	"A1A5H5"	"St14a protein"
"26"	"A1A5H9"	"Novel protein (Zgc:153068)"
"27"	"A1A5T1"	"Aars protein"
"28"	"A1A5X4"	"Adducin 1 (Alpha)"
"29"	"A1A5X6"	"Zgc:158361"
"30"	"A1A5X7"	"Uncharacterized protein"
"31"	"A1A5Y4"	"Uncharacterized protein"
"32"	"A1A5Y6"	"Major histocompatibility complex class I UDA gene"
"33"	"A1A5Y8"	"Zgc:158410"
"34"	"A1A605"	"Uncharacterized protein"
"35"	"A1L1F4"	"Sister chromatid cohesion protein PDS5 homolog A"
"36"	"A1L1R7"	"Aldehyde dehydrogenase 16 family, member A1"
"37"	"A1L1T3"	"Solute carrier family 32 (GABA vesicular transporter), member 1"
"38"	"A1L1V1"	"Uncharacterized protein"
"39"	"A1L1W1"	"Zgc:158450"
"40"	"A1L1W9"	"Monocarboxylate transporter 10"
"41"	"A1L1Z9"	"Family with sequence similarity 8, member A1"
"42"	"A1L213"	"RUN and FYVE domain containing 3"
"43"	"A1L220"	"Smc4 protein (Fragment)"
"44"	"A1L243"	"LDLR chaperone MESD"
"45"	"A1L257"	"Zgc:158660"
"46"	"A1L259"	"2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase"
"47"	"A1L260"	"Muscle-related coiled-coil protein"
"48"	"A1L271"	"Uncharacterized protein"
"49"	"A1L281"	"LOC562064 protein (Fragment)"
"50"	"A1L2D9"	"LOC557557 protein (Fragment)"
"51"	"A2AR68"	"Novel protein similar to vertebrate GDP dissociation inhibitor family (GDI)"
"52"	"A2ARG7"	"Novel protein containing an ATP synthase E chain domain (Zgc:153661)"
"53"	"A2ARH3"	"Novel protein containing multiple low-density lipoprotein receptors domain class A, low-density lipoprotein receptor repeat class B and EGF-like domains"
"54"	"A2ATX5"	"Novel protein similar to X. laevis neurofilament triplet L protein (NF-L)"
"55"	"A2AWA1"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 39a"
"56"	"A2BEN1"	"Novel protein (Zgc:63516)"
"57"	"A2BEV4"	"Novel protein similar to vertebrate transgelin 3 (TAGLN3)"
"58"	"A2BF64"	"Novel protein (Zgc:111950)"
